"REFERENCE","ADDRESS","CATEGORY","LISTED","COUNCIL","PARISH"
"52302","ADAMTON COUNTRY HOUSE HOTEL, INCLUDING GATEPIERS AND QUADRANT WALLS (EXCLUDING BALLROOM EXTENSION TO SOUTHWEST AND BEDROOM EXTENSION TO EAST), TARBOLTON ROAD, MONKTON","B","28/10/2014","SOUTH AYRSHIRE","MONKTON AND PRESTWICK"
"52272","AUCHENKYLE HOUSE AND LODGE, SOUTHWOOD ROAD, TROON","B","18/08/2014","SOUTH AYRSHIRE","DUNDONALD"
"52262","LADIES' GOLF CLUBHOUSE, MACHRIHANISH GOLF CLUB, MACHRIHANISH","B","31/07/2014","ARGYLL AND BUTE","CAMPBELTOWN"
"52225","DALBEATTIE PRIMARY SCHOOL (1876 BLOCK ONLY) AND BOUNDARY WALL, SOUTHWICK ROAD, DALBEATTIE","C","19/06/2014","DUMFRIES AND GALLOWAY","DALBEATTIE"
"52207","ELMWOOD COLLEGE, MAIN BLOCK TO SOUTH, CARSLOGIE ROAD, CUPAR","B","19/05/2014","FIFE","CUPAR"
"52212","ICE HOUSE, PITLOUR HOUSE, STRATHMIGLO","C","19/05/2014","FIFE","STRATHMIGLO"
"52165","BONAR HALL, PARK PLACE, UNIVERSITY OF DUNDEE, DUNDEE","B","14/01/2014","DUNDEE, CITY OF","DUNDEE"
"52107","ARDGOWAN SQUARE, ARDGOWAN CLUB INCLUDING BOUNDARY WALLS, RAILINGS AND GATEPIERS","C","31/10/2013","INVERCLYDE","GREENOCK"
"52042","HILLSIDE, FORMER SUNNYSIDE HOSPITAL, AWAY TEAM CRICKET PAVILION","C","12/06/2013","ANGUS","MONTROSE"
"52022","KIRKOSWALD, MAIN STREET, RICHMOND HALL, INCLUDING GATEPIERS","B","17/04/2013","SOUTH AYRSHIRE","KIRKOSWALD"
"52007","STONEYWOOD MILL, CANTEEN BUILDING","B","07/02/2013","ABERDEEN, CITY OF","NEWHILLS"
"51964","ELIE, ROTTEN ROW, ST MICHAEL AND ALL ANGELS EPISCOPAL CHURCH","C","04/09/2012","FIFE","ELIE AND EARLSFERRY"
"51927","LUNDIN LINKS HOTEL EXCLUDING LOWER TWO STOREY WING TO WEST ELEVATION, CORRUGATED METAL FIRE ESCAPE, SINGLE STOREY COTTAGE WING TO NORTH ELEVATION, AND LATE 20TH CENTURY CONSERVATORY TO SOUTH AND WEST ELEVATIONS","C","07/06/2012","FIFE","LARGO"
